ItemId,Category,Plan,Super.Category,Volume,ABClass
Product 3381,Sub Category 3,Region 1,Category 2,340.44,B
Product 3382,Sub Category 3,Region 1,Category 2,41.56,C
Product 3421,Sub Category 14,Region 1,Category 2,7.47,C
Product 3422,Sub Category 8,Region 1,Category 2,102,B
Product 3423,Sub Category 14,Region 1,Category 2,32.67,C
Product 3424,Sub Category 14,Region 1,Category 2,108.44,B
Product 3425,Sub Category 14,Region 1,Category 2,49.78,C
Product 3430,Sub Category 14,Region 1,Category 2,150,B
Product 3436,Sub Category 13,Region 1,Category 2,7,C
Product 3439,Sub Category 13,Region 1,Category 2,26.67,C
Product 344,Sub Category 14,Region 1,Category 2,136,B
Product 3440,Sub Category 13,Region 1,Category 2,29.33,C
Product 346,Sub Category 14,Region 1,Category 2,6.07,C
Product 347,Sub Category 14,Region 1,Category 2,19.6,C
Product 3472,Sub Category 14,Region 1,Category 2,12,C
Product 348,Sub Category 14,Region 1,Category 2,3.27,C
Product 3480,Sub Category 13,Region 1,Category 2,17.33,C
Product 349,Sub Category 14,Region 1,Category 2,0.47,C
Product 350,Sub Category 14,Region 1,Category 2,2.33,C
Product 351,Sub Category 14,Region 1,Category 2,1.87,C
Product 352,Sub Category 14,Region 1,Category 2,2.89,C
Product 3520,Sub Category 11,Region 1,Category 2,17.33,C
Product 3521,Sub Category 11,Region 1,Category 2,21.33,C
