Category,ItemId,Plan,Super Category,Volume
Sub Category 8,Product 468,Region 1,Category 2,0.53
Sub Category 8,Product 465,Region 1,Category 2,7.78
Sub Category 8,Product 7168,Region 1,Category 2,60
Sub Category 8,Product 3677,Region 1,Category 2,17.33
Sub Category 8,Product 1827,Region 1,Category 2,66.44
Sub Category 9,Product 2859,Region 1,Category 2,3.78
Sub Category 9,Product 3213,Region 1,Category 2,4
Sub Category 9,Product 1443,Region 1,Category 2,0.47
Sub Category 9,Product 5362,Region 1,Category 2,5
Sub Category 9,Product 909,Region 1,Category 2,14.67
Sub Category 9,Product 1183,Region 1,Category 2,13
Sub Category 9,Product 921,Region 1,Category 2,80
Sub Category 9,Product 1199,Region 1,Category 2,198
Sub Category 9,Product 912,Region 1,Category 2,86
Sub Category 9,Product 917,Region 1,Category 2,182.67
Sub Category 9,Product 918,Region 1,Category 2,97.33
Sub Category 9,Product 915,Region 1,Category 2,120
Sub Category 9,Product 3630,Region 1,Category 2,182
Sub Category 9,Product 920,Region 1,Category 2,418.56
Sub Category 9,Product 923,Region 1,Category 2,857.42
Sub Category 9,Product 1200,Region 1,Category 2,37.78
Sub Category 9,Product 911,Region 1,Category 2,83.07
Sub Category 9,Product 926,Region 1,Category 2,4.89
Sub Category 9,Product 1180,Region 1,Category 2,21.78
Sub Category 9,Product 925,Region 1,Category 2,6.67
Sub Category 9,Product 2515,Region 1,Category 2,933.33
Sub Category 9,Product 2513,Region 1,Category 2,32
Sub Category 9,Product 2514,Region 1,Category 2,28.78
Sub Category 9,Product 3364,Region 1,Category 2,1.87
Sub Category 9,Product 3363,Region 1,Category 2,8.4
Sub Category 9,Product 3705,Region 1,Category 2,20
Sub Category 9,Product 418,Region 1,Category 2,14
Sub Category 9,Product 7598,Region 1,Category 2,4
Sub Category 9,Product 1493,Region 1,Category 2,0.33
Sub Category 9,Product 419,Region 1,Category 2,2.67
Sub Category 9,Product 2154,Region 1,Category 2,8834
Sub Category 9,Product 4077,Region 1,Category 2,44
Sub Category 9,Product 2150,Region 1,Category 2,4.27
Sub Category 9,Product 2153,Region 1,Category 2,2390.78
Sub Category 9,Product 2152,Region 1,Category 2,1216
Sub Category 9,Product 3930,Region 1,Category 2,67.33
Sub Category 9,Product 7165,Region 1,Category 2,67.33
Sub Category 9,Product 7166,Region 1,Category 2,107.56
Sub Category 9,Product 7167,Region 1,Category 2,3.33
Sub Category 9,Product 7169,Region 1,Category 2,8.67
Sub Category 9,Product 7170,Region 1,Category 2,22.67
Sub Category 9,Product 7171,Region 1,Category 2,13.33
Sub Category 9,Product 7172,Region 1,Category 2,26.67
Sub Category 9,Product 7176,Region 1,Category 2,23.33
Sub Category 9,Product 7311,Region 1,Category 2,238.93
Sub Category 9,Product 7336,Region 1,Category 2,4.67
Sub Category 9,Product 2203,Region 1,Category 2,11.2
Sub Category 9,Product 2858,Region 1,Category 2,5.67
Sub Category 9,Product 2857,Region 1,Category 2,40.11
Sub Category 9,Product 884,Region 1,Category 2,0.78
Sub Category 9,Product 897,Region 1,Category 2,6.67
Sub Category 9,Product 894,Region 1,Category 2,11.67
Sub Category 9,Product 1334,Region 1,Category 2,3
